City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kayangel,8.0823,134.7173,301.1,81,96,7.72,PW,1691797882
83,eyl,7.9803,49.8164,297.87,75,15,10.2,SO,1691797882
84,petukhovo,55.0692,67.9019,282.85,78,80,5.66,RU,1691797882
85,puerto natales,-51.7236,-72.4875,272.59,90,10,2.38,CL,1691797882
86,kailua-kona,19.6406,-155.9956,302.75,77,40,4.63,US,1691797740
87,las heras,-46.5419,-68.9359,275.85,55,17,3.14,AR,1691797882
88,rongelap,11.1635,166.8941,301.82,77,81,7.66,MH,1691797883
89,tidjikja,18.5564,-11.4271,304.06,44,94,4.07,MR,1691797883
90,salekhard,66.53,66.6019,279.39,80,62,2.25,RU,1691797883
91,ilulissat,69.2167,-51.1,282.16,71,75,3.6,GL,1691797883
92,malango,-2.9627,119.9001,293.47,92,96,0.29,ID,1691797883
93,kodiak,57.79,-152.4072,285.88,94,75,4.12,US,1691797883
94,langepas,61.2544,75.2124,280.76,63,2,6.25,RU,1691797883
95,lebu,-37.6167,-73.65,280.99,79,20,2.58,CL,1691797643
96,iskateley,67.6803,53.1512,286.97,67,6,3.39,RU,1691797884
97,babatngon,11.4238,124.8449,298.94,90,99,1.56,PH,1691797884
98,nar'yan-mar,67.6713,53.087,287.05,67,6,3.39,RU,1691797884
99,hermanus,-34.4187,19.2345,286.37,93,6,1.91,ZA,1691797872
100,polyarnyy,69.1989,33.4478,289.18,65,97,3.61,RU,1691797885
101,puerto baquerizo moreno,-0.9,-89.6,296.73,80,75,5.05,EC,1691797885
102,talnakh,69.4865,88.3972,280.49,68,35,7.65,RU,1691797885
103,hutchinson,38.0608,-97.9298,302.12,70,0,5.14,US,1691797758
104,morant bay,17.8815,-76.4093,302.99,87,100,4.77,JM,1691797885
105,newton,42.337,-71.2092,298.18,58,0,3.09,US,1691797637
106,port mathurin,-19.6833,63.4167,295.9,81,6,10.8,MU,1691797886
107,zagora,30.3484,-5.8365,305.83,15,0,1.5,MA,1691797886
108,katsuura,35.1333,140.3,300.98,79,24,3.92,JP,1691797886
109,udachny,66.4167,112.4,289.51,72,100,3.95,RU,1691797886
110,freetown,8.484,-13.2299,297.87,87,100,4.99,SL,1691797886
111,yamada,39.4667,141.95,298.58,96,100,4.66,JP,1691797886
112,youssoufia,32.2463,-8.5294,306.04,21,51,1.81,MA,1691797886
113,aasiaat,68.7098,-52.8699,278.19,88,90,2.66,GL,1691797887
114,sao gabriel da cachoeira,-0.1303,-67.0892,299.91,75,85,0.8,BR,1691797887
115,richards bay,-28.783,32.0377,289.17,70,0,4.48,ZA,1691797619
116,port macquarie,-31.4333,152.9167,290.31,35,0,1.71,AU,1691797887
117,tomaszow lubelski,50.4477,23.4162,286.06,69,28,0.93,PL,1691797887
118,marivan,35.5219,46.176,298.07,17,0,3.38,IR,1691797888
119,paphos,34.7667,32.4167,298.03,73,0,2.57,CY,1691797888
120,albany,42.6001,-73.9662,295.51,69,16,2.64,US,1691797888
121,tiksi,71.6872,128.8694,281.23,80,95,6.57,RU,1691797888
122,remire-montjoly,4.9167,-52.2667,300.17,83,0,2.57,GF,1691797888
